created_at,temperature,humidity,motion,gas,is_night,motion_duration_sec
2026-06-21T12:28:24.079525,29.2,69.0,0,0,0,0
2026-06-21T12:28:24.485481,29.0,69.0,0,0,0,0
2026-06-21T12:28:28.491065,29.3,69.0,0,0,0,0
2026-06-21T12:28:28.491065,29.7,69.0,0,0,0,0
2026-06-21T12:28:30.501661,29.4,69.0,0,0,0,0
2026-06-21T12:28:32.505688,29.4,69.0,1,0,0,0
2026-06-21T12:28:34.511835,29.7,69.0,0,0,0,0
2026-06-21T12:28:38.522779,29.4,69.0,1,0,0,0
2026-06-21T12:28:38.522779,29.7,69.0,1,0,0,0
2026-06-21T12:28:40.528016,29.3,69.0,1,0,0,3
2026-06-21T12:28:42.534161,29.8,69.0,1,0,0,5
2026-06-21T12:28:44.539850,29.6,69.0,0,0,0,0
2026-06-21T12:28:46.545678,29.3,69.0,1,0,0,0
2026-06-21T12:28:50.554876,29.5,69.0,1,0,0,2
2026-06-21T12:28:50.555886,29.3,69.0,1,0,0,4
2026-06-21T12:28:52.558424,29.7,68.0,1,0,0,0
2026-06-21T12:28:56.571819,29.5,68.0,1,0,0,2
2026-06-21T12:28:56.571819,29.2,68.0,0,0,0,0
2026-06-21T12:28:58.576321,29.2,69.0,1,0,0,0
2026-06-21T12:29:02.590003,29.8,69.0,1,0,0,2
2026-06-21T12:29:02.590003,29.9,69.0,1,0,0,5
2026-06-21T12:29:04.594613,29.4,68.0,1,0,0,7
2026-06-21T12:29:06.589712,29.3,69.0,1,0,0,9
2026-06-21T12:29:08.604125,29.8,68.0,1,0,0,10
2026-06-21T12:29:12.614938,29.1,69.0,1,0,0,12
2026-06-21T12:29:12.615916,29.7,68.0,1,0,0,14
2026-06-21T12:29:14.610041,29.7,68.0,1,0,0,17
2026-06-21T12:29:18.628013,29.8,68.0,1,0,0,19
2026-06-21T12:29:18.630020,29.5,69.0,1,0,0,21
2026-06-21T12:29:20.632942,29.8,68.0,1,0,0,22
2026-06-21T12:29:22.639281,29.2,68.0,1,0,0,24
2026-06-21T12:29:24.644551,29.9,68.0,1,0,0,0
2026-06-21T12:29:26.648320,29.9,68.0,1,0,0,3
2026-06-21T12:29:28.654292,29.0,68.0,1,0,0,5
2026-06-21T12:29:32.665947,29.3,68.0,1,0,0,5
2026-06-21T12:29:32.665947,29.0,69.0,1,0,0,8
2026-06-21T12:29:36.675382,29.6,68.0,1,0,0,0
2026-06-21T12:29:36.677364,29.1,68.0,0,0,0,0
2026-06-21T12:29:38.680603,29.6,68.0,1,0,0,0
2026-06-21T12:29:40.685011,29.8,68.0,1,0,0,3
2026-06-21T12:29:42.689462,29.6,68.0,1,0,0,5
2026-06-21T12:29:44.694988,29.0,68.0,1,0,0,7
2026-06-21T12:29:46.701775,29.4,68.0,0,0,0,0
2026-06-21T12:29:50.710539,29.0,68.0,1,0,0,0
2026-06-21T12:29:50.712536,29.2,68.0,1,0,0,3
2026-06-21T12:29:54.722760,29.9,68.0,1,0,0,5
2026-06-21T12:29:54.724765,29.0,68.0,1,0,0,7
2026-06-21T12:29:56.729360,29.8,68.0,1,0,0,9
2026-06-21T12:29:58.733747,29.3,68.0,0,0,0,0
2026-06-21T12:30:02.744131,29.2,69.0,1,0,0,0
2026-06-21T12:30:02.744131,29.0,68.0,1,0,0,3
2026-06-21T12:30:04.750101,29.3,68.0,0,0,0,0
2026-06-21T12:30:08.750735,29.1,68.0,1,0,0,0
2026-06-21T12:30:08.759762,29.7,68.0,1,0,0,0
2026-06-21T12:30:10.765720,29.8,68.0,1,0,0,0
2026-06-21T12:30:12.770792,29.6,68.0,1,0,0,3
2026-06-21T12:30:14.773958,29.0,68.0,1,0,0,5
2026-06-21T12:30:16.780706,29.3,68.0,1,0,0,8
2026-06-21T12:30:18.784896,29.0,69.0,1,0,0,10
2026-06-21T12:30:20.789856,29.5,68.0,1,0,0,10
2026-06-21T12:30:24.801952,29.6,68.0,1,0,0,13
2026-06-21T12:30:24.802949,29.9,68.0,1,0,0,15
2026-06-21T12:30:28.811064,29.0,68.0,1,0,0,17
2026-06-21T12:30:28.812075,29.2,68.0,1,0,0,20
2026-06-21T12:30:30.816320,29.0,68.0,0,0,0,0
2026-06-21T12:30:32.822083,29.3,68.0,1,0,0,0
2026-06-21T12:30:34.825973,29.2,68.0,1,0,0,2
2026-06-21T12:30:36.831997,29.0,68.0,0,0,0,0
2026-06-21T12:30:38.836738,29.2,68.0,1,0,0,0
2026-06-21T12:30:40.842179,29.0,68.0,1,0,0,0
2026-06-21T12:30:42.847674,29.3,68.0,0,0,0,0
2026-06-21T12:30:44.851750,29.1,68.0,1,0,0,0
2026-06-21T12:30:46.856691,29.8,68.0,1,0,0,0
2026-06-21T12:30:48.857268,29.7,68.0,1,0,0,2
2026-06-21T12:30:50.866426,29.8,68.0,0,0,0,0
2026-06-21T12:30:52.872268,29.6,68.0,1,0,0,0
2026-06-21T12:30:54.877251,29.1,68.0,1,0,0,2
2026-06-21T12:30:56.882335,29.7,68.0,1,0,0,0
2026-06-21T12:30:58.886393,29.9,68.0,0,0,0,0
2026-06-21T12:31:02.896154,29.9,68.0,0,0,0,0
2026-06-21T12:31:02.897167,29.1,68.0,0,0,0,0
2026-06-21T12:31:04.901809,29.6,68.0,1,0,0,0
2026-06-21T12:31:06.907072,29.0,68.0,1,0,0,2
2026-06-21T12:31:08.912530,29.2,68.0,1,0,0,4
2026-06-21T12:31:10.907734,29.9,68.0,1,0,0,7
2026-06-21T12:31:12.922142,29.0,68.0,1,0,0,9
2026-06-21T12:31:14.927015,29.4,68.0,0,0,0,0
2026-06-21T12:31:18.938157,29.2,68.0,1,0,0,0
2026-06-21T12:31:18.940149,29.0,68.0,1,0,0,0
2026-06-21T12:31:20.941707,29.1,68.0,1,0,0,0
2026-06-21T12:31:22.948831,29.7,68.0,1,0,0,0
2026-06-21T12:31:24.952682,29.1,68.0,1,0,0,0
2026-06-21T12:31:26.956862,29.4,68.0,1,0,0,0
2026-06-21T12:31:30.967398,29.2,68.0,1,0,0,2
2026-06-21T12:31:30.968766,29.9,69.0,1,0,0,4
2026-06-21T12:31:32.972986,29.5,68.0,1,0,0,6
2026-06-21T12:31:34.977815,29.6,68.0,1,0,0,7
2026-06-21T12:31:36.981748,29.0,68.0,0,0,0,0
2026-06-21T12:31:40.992572,29.3,68.0,0,0,0,0
2026-06-21T12:31:40.992572,29.2,68.0,1,0,0,0
2026-06-21T12:31:42.997645,29.0,68.0,1,0,0,2
2026-06-21T12:31:45.003597,29.4,68.0,1,0,0,3
2026-06-21T12:31:47.007622,29.2,68.0,1,0,0,5
2026-06-21T12:31:49.011746,29.1,68.0,1,0,0,0
2026-06-21T12:31:51.005951,29.2,68.0,0,0,0,0
2026-06-21T12:31:53.023007,29.6,68.0,0,0,0,0
2026-06-21T12:31:55.027108,29.0,68.0,1,0,0,0
2026-06-21T12:31:59.037230,29.4,69.0,1,0,0,3
2026-06-21T12:31:59.038878,29.6,68.0,1,0,0,5
2026-06-21T12:32:01.041842,29.1,68.0,1,0,0,7
2026-06-21T12:32:03.039529,29.8,68.0,1,0,0,9
2026-06-21T12:32:07.057705,29.6,68.0,0,0,0,0
2026-06-21T12:32:07.058704,29.0,68.0,1,0,0,0
2026-06-21T12:32:09.062464,29.5,68.0,1,0,0,3
2026-06-21T12:32:11.067728,29.7,68.0,1,0,0,5
2026-06-21T12:32:15.077470,29.0,68.0,1,0,0,7
2026-06-21T12:32:15.078477,29.5,68.0,1,0,0,9
2026-06-21T12:32:17.082965,29.4,68.0,1,0,0,11
2026-06-21T12:32:19.087288,29.5,68.0,1,0,0,12
2026-06-21T12:32:21.093529,29.8,68.0,1,0,0,14
2026-06-21T12:32:23.097752,29.8,68.0,0,0,0,0
2026-06-21T12:32:27.108268,29.8,68.0,1,0,0,0
2026-06-21T12:32:27.110273,29.5,68.0,1,0,0,0
2026-06-21T12:32:29.114006,29.4,68.0,1,0,0,3
2026-06-21T12:32:33.125222,29.4,68.0,1,0,0,0
2026-06-21T12:32:33.126220,29.5,68.0,1,0,0,0
2026-06-21T12:32:35.130463,29.3,68.0,0,0,0,0
2026-06-21T12:32:37.135658,29.4,68.0,1,0,0,0
2026-06-21T12:32:41.144617,29.3,68.0,0,0,0,0
2026-06-21T12:32:41.144617,29.3,68.0,1,0,0,0
2026-06-21T12:32:43.152539,29.3,68.0,1,0,0,2
2026-06-21T12:32:47.163140,29.2,68.0,1,0,0,4
2026-06-21T12:32:47.164138,29.1,68.0,1,0,0,7
2026-06-21T12:32:49.167625,29.7,68.0,0,0,0,0
2026-06-21T12:32:51.174531,29.0,68.0,1,0,0,0
2026-06-21T12:32:53.180826,29.9,68.0,1,0,0,0
2026-06-21T12:32:57.189508,29.6,68.0,1,0,0,2
2026-06-21T12:32:57.191510,29.0,68.0,1,0,0,0
2026-06-21T12:32:59.194147,29.4,68.0,1,0,0,2
2026-06-21T12:33:01.202590,29.3,68.0,1,0,0,4
2026-06-21T12:33:03.202387,29.8,68.0,1,0,0,5
2026-06-21T12:33:05.211982,29.7,68.0,1,0,0,7
2026-06-21T12:33:07.215968,29.9,68.0,1,0,0,9
2026-06-21T12:33:09.220736,29.0,68.0,1,0,0,0
2026-06-21T12:33:11.226811,29.3,68.0,1,0,0,2
2026-06-21T12:33:15.237880,29.1,68.0,1,0,0,4
2026-06-21T12:33:15.238894,29.7,68.0,1,0,0,6
2026-06-21T12:33:17.243433,29.8,68.0,1,0,0,7
2026-06-21T12:33:21.252828,29.3,68.0,1,0,0,9
2026-06-21T12:33:21.253828,29.6,68.0,1,0,0,12
2026-06-21T12:33:23.257900,29.0,68.0,0,0,0,0
2026-06-21T12:33:25.263392,29.4,68.0,0,0,0,0
2026-06-21T12:33:27.267850,29.3,68.0,1,0,0,0
2026-06-21T12:33:29.272445,29.9,68.0,1,0,0,2
2026-06-21T12:33:31.278588,29.5,68.0,1,0,0,3
2026-06-21T12:33:33.283539,29.8,68.0,1,0,0,5
2026-06-21T12:33:35.287994,29.8,68.0,1,0,0,7
2026-06-21T12:33:39.299679,29.7,68.0,1,0,0,0
2026-06-21T12:33:39.300682,29.4,68.0,1,0,0,0
2026-06-21T12:33:41.303005,29.9,68.0,1,0,0,3
2026-06-21T12:33:43.308180,29.3,68.0,1,0,0,0
2026-06-21T12:33:45.312951,29.0,68.0,1,0,0,0
2026-06-21T12:33:47.318275,29.3,68.0,1,0,0,0
2026-06-21T12:33:51.328292,29.4,68.0,1,0,0,2
2026-06-21T12:33:51.329309,29.2,68.0,1,0,0,5
2026-06-21T12:33:55.338074,29.1,68.0,1,0,0,7
2026-06-21T12:33:55.339085,29.5,68.0,1,0,0,7
2026-06-21T12:33:57.341572,29.4,68.0,1,0,0,10
2026-06-21T12:34:01.354077,29.2,68.0,1,0,0,12
2026-06-21T12:34:01.356074,29.1,68.0,1,0,0,14
2026-06-21T12:34:03.358151,29.6,68.0,1,0,0,17
2026-06-21T12:34:05.363344,29.7,68.0,1,0,0,19
2026-06-21T12:34:09.373413,29.0,68.0,1,0,0,19
2026-06-21T12:34:09.374413,29.1,68.0,1,0,0,22
2026-06-21T12:34:11.378122,29.7,68.0,1,0,0,24
2026-06-21T12:34:13.385101,29.9,68.0,1,0,0,26
2026-06-21T12:34:15.388883,29.9,68.0,1,0,0,29
2026-06-21T12:34:17.391047,29.2,68.0,1,0,0,31
2026-06-21T12:34:21.403847,29.0,68.0,1,0,0,31
2026-06-21T12:34:21.405853,29.3,68.0,1,0,0,34
2026-06-21T12:34:23.406697,29.1,68.0,1,0,0,36
2026-06-21T12:34:25.413616,29.3,68.0,1,0,0,0
2026-06-21T12:34:27.413452,29.3,68.0,0,0,0,0
2026-06-21T12:34:31.429540,29.3,68.0,1,0,0,0
2026-06-21T12:34:31.430517,29.2,68.0,0,0,0,0
2026-06-21T12:34:33.433656,29.1,68.0,1,0,0,0
2026-06-21T12:34:35.439240,29.3,68.0,1,0,0,2
2026-06-21T12:34:39.448325,29.2,68.0,1,0,0,4
2026-06-21T12:34:39.449375,29.1,68.0,1,0,0,5
2026-06-21T12:34:41.454489,29.3,68.0,0,0,0,0
2026-06-21T12:34:43.459480,29.6,68.0,0,0,0,0
2026-06-21T12:34:45.464236,29.9,68.0,1,0,0,0
2026-06-21T12:34:47.468958,29.1,68.0,1,0,0,2
2026-06-21T12:34:51.479113,29.7,68.0,0,0,0,0
2026-06-21T12:34:51.480096,29.9,68.0,1,0,0,0
2026-06-21T12:34:53.483356,29.1,68.0,0,0,0,0
2026-06-21T12:34:57.495015,29.8,68.0,0,0,0,0
2026-06-21T12:34:57.496011,29.7,68.0,1,0,0,0
2026-06-21T12:35:01.504807,29.6,68.0,1,0,0,2
2026-06-21T12:35:01.505805,29.0,68.0,0,0,0,0
2026-06-21T12:35:05.513539,29.4,68.0,1,0,0,0
2026-06-21T12:35:05.515577,29.2,68.0,1,0,0,2
2026-06-21T12:35:07.518698,29.0,68.0,0,0,0,0
2026-06-21T12:35:09.524520,29.3,68.0,1,0,0,0
2026-06-21T12:35:11.528630,29.1,68.0,1,0,0,2
2026-06-21T12:35:13.534209,29.6,68.0,0,0,0,0
2026-06-21T12:35:15.539624,29.0,68.0,0,0,0,0
2026-06-21T12:35:17.545390,29.9,68.0,1,0,0,0
2026-06-21T12:35:19.549020,29.7,68.0,1,0,0,0
2026-06-21T12:35:23.560887,29.8,68.0,1,0,0,3
2026-06-21T12:35:23.560887,29.5,68.0,1,0,0,5
2026-06-21T12:35:25.564303,29.6,68.0,1,0,0,8
2026-06-21T12:35:29.575406,29.0,68.0,1,0,0,10
2026-06-21T12:35:29.576412,29.3,68.0,1,0,0,12
2026-06-21T12:35:31.581733,29.0,68.0,1,0,0,12
2026-06-21T12:35:33.586235,29.3,68.0,1,0,0,0
2026-06-21T12:35:37.597022,29.1,68.0,1,0,0,0
2026-06-21T12:35:37.599040,29.4,68.0,1,0,0,2
2026-06-21T12:35:39.603000,29.6,68.0,1,0,0,4
2026-06-21T12:35:41.609809,29.1,68.0,0,0,0,0
2026-06-21T12:35:43.614128,29.7,68.0,0,0,0,0
2026-06-21T12:35:47.624894,29.7,68.0,1,0,0,0
2026-06-21T12:35:47.625898,29.8,68.0,0,0,0,0
2026-06-21T12:35:49.630570,29.7,68.0,0,0,0,0
2026-06-21T12:35:51.637302,29.4,68.0,1,0,0,0
2026-06-21T12:35:55.644916,29.2,68.0,1,0,0,2
2026-06-21T12:35:55.646438,29.1,68.0,1,0,0,5
2026-06-21T12:35:57.651199,29.8,68.0,0,0,0,0
2026-06-21T12:35:59.658243,29.2,68.0,1,0,0,0
2026-06-21T12:36:03.666525,29.5,68.0,1,0,0,0
2026-06-21T12:36:03.667525,29.6,68.0,1,0,0,0
2026-06-21T12:36:05.673441,29.9,68.0,1,0,0,2
2026-06-21T12:36:07.677567,29.0,68.0,1,0,0,0
2026-06-21T12:36:09.682603,29.2,68.0,1,0,0,0
2026-06-21T12:36:13.693097,29.0,68.0,0,0,0,0
2026-06-21T12:36:13.693097,29.2,68.0,1,0,0,0
2026-06-21T12:36:17.692977,29.0,68.0,1,0,0,2
2026-06-21T12:36:17.692977,29.3,68.0,1,0,0,0
2026-06-21T12:36:21.709001,29.0,68.0,0,0,0,0
2026-06-21T12:36:21.709001,29.4,68.0,1,0,0,0
2026-06-21T12:36:25.722928,29.2,68.0,1,0,0,0
2026-06-21T12:36:25.723919,29.0,68.0,0,0,0,0
2026-06-21T12:36:29.734675,29.0,68.0,0,0,0,0
2026-06-21T12:36:29.734675,29.3,68.0,1,0,0,0
2026-06-21T12:36:31.738941,29.1,68.0,1,0,0,3
2026-06-21T12:36:33.743450,29.8,68.0,1,0,0,5
2026-06-21T12:36:37.754147,29.3,68.0,0,0,0,0
2026-06-21T12:36:37.755139,29.7,68.0,0,0,0,0
2026-06-21T12:36:39.758190,29.8,68.0,0,0,0,0
2026-06-21T12:36:41.758109,29.6,69.0,1,0,0,0
2026-06-21T12:36:43.769109,29.8,68.0,1,0,0,2
2026-06-21T12:36:45.774283,29.7,69.0,1,0,0,4
2026-06-21T12:36:49.784750,29.3,68.0,1,0,0,5
2026-06-21T12:36:49.785867,29.3,68.0,1,0,0,7
2026-06-21T12:36:53.793031,29.0,68.0,1,0,0,9
2026-06-21T12:36:53.794023,29.2,68.0,0,0,0,0
2026-06-21T12:36:55.798219,29.0,69.0,0,0,0,0
2026-06-21T12:36:57.791681,29.5,68.0,1,0,0,0
2026-06-21T12:36:59.809465,29.6,69.0,1,0,0,2
2026-06-21T12:37:01.806666,29.3,69.0,1,0,0,4
2026-06-21T12:37:05.824238,29.3,69.0,1,0,0,5
2026-06-21T12:37:05.826373,29.8,68.0,1,0,0,7
2026-06-21T12:37:07.829543,29.5,69.0,1,0,0,10
2026-06-21T12:37:11.841552,29.1,68.0,1,0,0,12
2026-06-21T12:37:11.842555,29.2,68.0,1,0,0,14
2026-06-21T12:37:15.853027,29.5,69.0,0,0,0,0
2026-06-21T12:37:15.853993,29.3,69.0,0,0,0,0
2026-06-21T12:37:19.858257,29.6,69.0,1,0,0,0
2026-06-21T12:37:19.858257,29.7,69.0,1,0,0,2
2026-06-21T12:37:21.868909,29.5,69.0,1,0,0,4
2026-06-21T12:37:23.872526,29.1,69.0,1,0,0,5
2026-06-21T12:37:25.880591,29.1,69.0,0,0,0,0
2026-06-21T12:37:27.885069,29.7,69.0,1,0,0,0
2026-06-21T12:37:29.891711,29.8,69.0,1,0,0,2
2026-06-21T12:37:31.890220,29.9,69.0,1,0,0,4
2026-06-21T12:37:33.904825,29.5,69.0,1,0,0,6
2026-06-21T12:37:35.905763,29.2,69.0,1,0,0,7
2026-06-21T12:37:37.912644,29.7,69.0,0,0,0,0
2026-06-21T12:37:39.919190,29.8,69.0,0,0,0,0
2026-06-21T12:37:43.930935,29.9,69.0,0,0,0,0
2026-06-21T12:37:43.931555,29.8,69.0,1,0,0,0
2026-06-21T12:37:47.939450,29.8,69.0,1,0,0,2
2026-06-21T12:37:47.939450,29.5,69.0,1,0,0,2
2026-06-21T12:37:49.945597,29.7,69.0,1,0,0,5
2026-06-21T12:37:51.950418,29.4,69.0,0,0,0,0
2026-06-21T12:37:53.955620,29.6,69.0,0,0,0,0
2026-06-21T12:37:57.966327,29.5,69.0,1,0,0,0
2026-06-21T12:37:57.967298,29.3,69.0,1,0,0,0
2026-06-21T12:37:59.971014,29.5,69.0,1,0,0,3
2026-06-21T12:38:01.975292,29.3,69.0,0,0,0,0
2026-06-21T12:38:03.982089,29.6,69.0,1,0,0,0
2026-06-21T12:38:07.990969,29.5,69.0,0,0,0,0
2026-06-21T12:38:07.991982,29.2,69.0,1,0,0,0
2026-06-21T12:38:12.000248,29.0,69.0,1,0,0,0
2026-06-21T12:38:12.002256,29.4,69.0,0,0,0,0
2026-06-21T12:38:14.007181,29.2,69.0,1,0,0,0
2026-06-21T12:38:16.011676,29.5,69.0,1,0,0,2
2026-06-21T12:38:18.017517,29.2,69.0,0,0,0,0
2026-06-21T12:38:20.022898,29.0,69.0,1,0,0,0
2026-06-21T12:38:22.026259,29.5,69.0,1,0,0,0
2026-06-21T12:38:24.031117,29.1,69.0,1,0,0,3
2026-06-21T12:38:28.042719,29.2,69.0,1,0,0,5
2026-06-21T12:38:28.044273,29.0,69.0,1,0,0,7
2026-06-21T12:38:30.047623,29.5,69.0,1,0,0,10
2026-06-21T12:38:32.052240,29.1,69.0,1,0,0,12
2026-06-21T12:38:36.063332,29.2,69.0,0,0,0,0
2026-06-21T12:38:36.064329,29.0,69.0,1,0,0,0
2026-06-21T12:38:38.060341,29.6,69.0,0,0,0,0
2026-06-21T12:38:40.072721,29.6,69.0,0,0,0,0
2026-06-21T12:38:42.073781,29.6,69.0,0,0,0,0
2026-06-21T12:38:46.087643,29.8,69.0,0,0,0,0
2026-06-21T12:38:46.088646,29.9,69.0,1,0,0,0
2026-06-21T12:38:48.092389,29.7,69.0,1,0,0,2
2026-06-21T12:38:50.093867,29.0,69.0,1,0,0,3
2026-06-21T12:38:52.103269,29.5,69.0,1,0,0,5
2026-06-21T12:38:56.113493,29.0,69.0,1,0,0,0
2026-06-21T12:38:56.115491,29.5,69.0,1,0,0,2
2026-06-21T12:38:58.118719,29.1,69.0,1,0,0,5
2026-06-21T12:39:00.123788,29.3,69.0,1,0,0,7
2026-06-21T12:39:02.129639,29.7,69.0,1,0,0,7
2026-06-21T12:39:06.139103,29.3,69.0,1,0,0,10
2026-06-21T12:39:06.140100,29.8,69.0,0,0,0,0
2026-06-21T12:39:08.143704,29.8,69.0,0,0,0,0
2026-06-21T12:39:10.147995,29.0,69.0,1,0,0,0
2026-06-21T12:39:12.153176,29.4,69.0,1,0,0,0
2026-06-21T12:39:14.158516,29.6,69.0,1,0,0,0
2026-06-21T12:39:16.163956,29.6,69.0,0,0,0,0
2026-06-21T12:39:18.168057,29.8,69.0,1,0,0,0
2026-06-21T12:39:20.165391,29.1,69.0,1,0,0,2
2026-06-21T12:39:22.178180,29.3,69.0,1,0,0,5
2026-06-21T12:39:26.188577,29.6,69.0,0,0,0,0
2026-06-21T12:39:26.189806,29.5,69.0,1,0,0,0
2026-06-21T12:39:28.195471,29.6,69.0,1,0,0,0
2026-06-21T12:39:32.192580,29.6,69.0,1,0,0,2
2026-06-21T12:39:32.192580,29.7,69.0,1,0,0,4
